Fecha,Origen,Destino,Precio Cabify,Precio Uber,Precio DiDi,Distance,Zona,Cabify vs Uber,Cabify vs DiDi
27/07/2026 15:49:14,Crisol 64,Plaza Colón,3800,3300,,"3,9",CBA,"15,15%",
27/07/2026 15:52:14,Javier Lascano Colodrero 2924,Ilolay 3000,3700,4200,,4,CBA,"-11,90%",
27/07/2026 15:55:14,Obispo Salguero 777,Av. Octavio Pinto 2541,7600,6000,,"7,9",CBA,"26,67%",
27/07/2026 15:58:14,Av. Rufino Varela Ortiz 5147,Santa Fe 330,4800,7500,,"7,5",CBA,"-36,00%",
27/07/2026 16:32:00,Crisol 64,Plaza Colón,,3400,,"3,9",CBA,"-100,00%",
27/07/2026 16:34:01,Javier Lascano Colodrero 2924,Ilolay 3000,3400,4400,,4,CBA,"-22,73%",
27/07/2026 16:36:01,Obispo Salguero 777,Av. Octavio Pinto 2541,7100,6000,,"7,9",CBA,"18,33%",
27/07/2026 16:38:01,Av. Rufino Varela Ortiz 5147,Santa Fe 330,4800,7400,,"7,5",CBA,"-35,14%",
27/07/2026 17:02:00,Crisol 64,Plaza Colón,,3500,,"3,9",CBA,"-100,00%",
27/07/2026 17:04:00,Javier Lascano Colodrero 2924,Ilolay 3000,3400,4400,,4,CBA,"-22,73%",
27/07/2026 17:06:00,Obispo Salguero 777,Av. Octavio Pinto 2541,,6400,,"7,9",CBA,"-100,00%",
27/07/2026 17:08:02,Av. Rufino Varela Ortiz 5147,Santa Fe 330,4900,7400,,"7,5",CBA,"-33,78%",
27/07/2026 17:32:01,Crisol 64,Plaza Colón,,3800,,"3,9",CBA,"-100,00%",
27/07/2026 17:34:01,Javier Lascano Colodrero 2924,Ilolay 3000,4200,4400,,4,CBA,"-4,55%",
27/07/2026 17:36:01,Obispo Salguero 777,Av. Octavio Pinto 2541,6500,8100,,"7,9",CBA,"-19,75%",
27/07/2026 17:38:01,Av. Rufino Varela Ortiz 5147,Santa Fe 330,5400,7500,,"7,5",CBA,"-28,00%",
27/07/2026 18:32:02,Crisol 64,Plaza Colón,4100,3500,,"3,9",CBA,"17,14%",
27/07/2026 18:34:00,Javier Lascano Colodrero 2924,Ilolay 3000,3400,4500,,4,CBA,"-24,44%",
27/07/2026 18:36:00,Obispo Salguero 777,Av. Octavio Pinto 2541,7400,6400,,"7,9",CBA,"15,63%",
27/07/2026 18:38:01,Av. Rufino Varela Ortiz 5147,Santa Fe 330,4800,7500,,"7,5",CBA,"-36,00%",
27/07/2026 19:02:02,Crisol 64,Plaza Colón,4100,3400,,"3,9",CBA,"20,59%",
27/07/2026 19:04:00,Javier Lascano Colodrero 2924,Ilolay 3000,3700,4400,,4,CBA,"-15,91%",
27/07/2026 19:06:01,Obispo Salguero 777,Av. Octavio Pinto 2541,6700,6600,,"7,9",CBA,"1,52%",
27/07/2026 19:08:01,Av. Rufino Varela Ortiz 5147,Santa Fe 330,5300,7200,,"7,5",CBA,"-26,39%",
27/07/2026 19:32:01,Crisol 64,Plaza Colón,3300,3300,,"3,9",CBA,"0,00%",
27/07/2026 19:34:01,Javier Lascano Colodrero 2924,Ilolay 3000,3400,4400,,4,CBA,"-22,73%",
27/07/2026 19:36:02,Obispo Salguero 777,Av. Octavio Pinto 2541,,6500,,"7,9",CBA,"-100,00%",
27/07/2026 19:38:02,Av. Rufino Varela Ortiz 5147,Santa Fe 330,4800,7300,,"7,5",CBA,"-34,25%",
27/07/2026 20:32:00,Crisol 64,Plaza Colón,3200,3600,,"3,9",CBA,"-11,11%",
27/07/2026 20:34:01,Javier Lascano Colodrero 2924,Ilolay 3000,,4700,,4,CBA,"-100,00%",
27/07/2026 20:36:01,Obispo Salguero 777,Av. Octavio Pinto 2541,5500,7100,,"7,9",CBA,"-22,54%",
27/07/2026 20:38:01,Av. Rufino Varela Ortiz 5147,Santa Fe 330,4700,7700,,"7,5",CBA,"-38,96%",
27/07/2026 21:02:01,Crisol 64,Plaza Colón,3500,3500,,"3,9",CBA,"0,00%",
27/07/2026 21:04:01,Javier Lascano Colodrero 2924,Ilolay 3000,3600,4700,,4,CBA,"-23,40%",
27/07/2026 21:06:01,Obispo Salguero 777,Av. Octavio Pinto 2541,5500,6900,,"7,9",CBA,"-20,29%",
27/07/2026 21:08:02,Av. Rufino Varela Ortiz 5147,Santa Fe 330,6900,7600,,"7,5",CBA,"-9,21%",
27/07/2026 21:32:01,Crisol 64,Plaza Colón,3100,3500,,"3,9",CBA,"-11,43%",
27/07/2026 21:34:01,Javier Lascano Colodrero 2924,Ilolay 3000,2900,4600,,4,CBA,"-36,96%",
27/07/2026 21:36:01,Obispo Salguero 777,Av. Octavio Pinto 2541,4500,6900,,"7,9",CBA,"-34,78%",
27/07/2026 21:38:02,Av. Rufino Varela Ortiz 5147,Santa Fe 330,5200,7400,,"7,5",CBA,"-29,73%",
27/07/2026 22:02:02,Crisol 64,Plaza Colón,3800,3300,,"3,9",CBA,"15,15%",
27/07/2026 22:04:01,Javier Lascano Colodrero 2924,Ilolay 3000,3200,4600,,4,CBA,"-30,43%",
27/07/2026 22:06:02,Obispo Salguero 777,Av. Octavio Pinto 2541,5400,7000,,"7,9",CBA,"-22,86%",
27/07/2026 22:08:02,Av. Rufino Varela Ortiz 5147,Santa Fe 330,4600,7400,,"7,5",CBA,"-37,84%",
27/07/2026 22:32:01,Crisol 64,Plaza Colón,3400,3300,,"3,9",CBA,"3,03%",
27/07/2026 22:34:01,Javier Lascano Colodrero 2924,Ilolay 3000,4300,4600,,4,CBA,"-6,52%",
27/07/2026 22:36:01,Obispo Salguero 777,Av. Octavio Pinto 2541,5400,6900,,"7,9",CBA,"-21,74%",
27/07/2026 22:38:03,Av. Rufino Varela Ortiz 5147,Santa Fe 330,5200,7400,,"7,5",CBA,"-29,73%",
27/07/2026 23:02:01,Crisol 64,Plaza Colón,3000,3400,,"3,9",CBA,"-11,76%",
27/07/2026 23:04:00,Javier Lascano Colodrero 2924,Ilolay 3000,,,,4,CBA,#DIV/0!,
27/07/2026 23:06:02,Obispo Salguero 777,Av. Octavio Pinto 2541,4900,7300,,"7,9",CBA,"-32,88%",
27/07/2026 23:08:01,Av. Rufino Varela Ortiz 5147,Santa Fe 330,4600,20100,,"7,5",CBA,"-77,11%",
27/07/2026 23:32:00,Crisol 64,Plaza Colón,3000,3300,,"3,9",CBA,"-9,09%",
27/07/2026 23:34:00,Javier Lascano Colodrero 2924,Ilolay 3000,3500,4600,,4,CBA,"-23,91%",
27/07/2026 23:36:00,Obispo Salguero 777,Av. Octavio Pinto 2541,7000,7200,,"7,9",CBA,"-2,78%",
27/07/2026 23:38:00,Av. Rufino Varela Ortiz 5147,Santa Fe 330,4600,,,"7,5",CBA,#DIV/0!,
28/07/2026 00:02:01,Crisol 64,Plaza Colón,3000,4000,,"3,9",CBA,"-25,00%",
28/07/2026 00:04:00,Javier Lascano Colodrero 2924,Ilolay 3000,3100,5200,,4,CBA,"-40,38%",
28/07/2026 00:06:00,Obispo Salguero 777,Av. Octavio Pinto 2541,5900,15100,,"7,9",CBA,"-60,93%",
28/07/2026 00:08:01,Av. Rufino Varela Ortiz 5147,Santa Fe 330,5100,8700,,"7,5",CBA,"-41,38%",
28/07/2026 00:32:01,Crisol 64,Plaza Colón,7400,3700,,"3,9",CBA,"100,00%",
28/07/2026 00:34:00,Javier Lascano Colodrero 2924,Ilolay 3000,7800,5200,,4,CBA,"50,00%",
28/07/2026 00:36:00,Obispo Salguero 777,Av. Octavio Pinto 2541,6500,8100,,"7,9",CBA,"-19,75%",
28/07/2026 00:38:01,Av. Rufino Varela Ortiz 5147,Santa Fe 330,10300,9900,,"7,5",CBA,"4,04%",
28/07/2026 01:02:00,Crisol 64,Plaza Colón,,4700,,"3,9",CBA,"-100,00%",
28/07/2026 01:04:00,Javier Lascano Colodrero 2924,Ilolay 3000,,5100,,4,CBA,"-100,00%",
28/07/2026 01:06:01,Obispo Salguero 777,Av. Octavio Pinto 2541,11500,10400,,"7,9",CBA,"10,58%",
28/07/2026 01:08:02,Av. Rufino Varela Ortiz 5147,Santa Fe 330,12000,8100,,"7,5",CBA,"48,15%",
28/07/2026 01:32:00,Crisol 64,Plaza Colón,3300,3700,,"3,9",CBA,"-10,81%",
28/07/2026 01:34:01,Javier Lascano Colodrero 2924,Ilolay 3000,3500,5100,,4,CBA,"-31,37%",
28/07/2026 01:36:00,Obispo Salguero 777,Av. Octavio Pinto 2541,5900,7600,,"7,9",CBA,"-22,37%",
28/07/2026 01:38:00,Av. Rufino Varela Ortiz 5147,Santa Fe 330,11100,8100,,"7,5",CBA,"37,04%",
28/07/2026 02:02:01,Crisol 64,Plaza Colón,4800,3800,,"3,9",CBA,"26,32%",
28/07/2026 02:04:00,Javier Lascano Colodrero 2924,Ilolay 3000,4300,5100,,4,CBA,"-15,69%",
28/07/2026 02:06:00,Obispo Salguero 777,Av. Octavio Pinto 2541,5200,7100,,"7,9",CBA,"-26,76%",
28/07/2026 02:08:02,Av. Rufino Varela Ortiz 5147,Santa Fe 330,,8300,,"7,5",CBA,"-100,00%",
28/07/2026 02:32:00,Crisol 64,Plaza Colón,3000,5600,,"3,9",CBA,"-46,43%",
28/07/2026 02:34:00,Javier Lascano Colodrero 2924,Ilolay 3000,3100,9600,,4,CBA,"-67,71%",
28/07/2026 02:36:00,Obispo Salguero 777,Av. Octavio Pinto 2541,5300,7100,,"7,9",CBA,"-25,35%",
28/07/2026 02:38:03,Av. Rufino Varela Ortiz 5147,Santa Fe 330,,8200,,"7,5",CBA,"-100,00%",
28/07/2026 09:26:36,Crisol 64,Plaza Colón,,3300,,"3,9",CBA,"-100,00%",
28/07/2026 09:28:37,Javier Lascano Colodrero 2924,Ilolay 3000,4400,3800,,4,CBA,"15,79%",
28/07/2026 09:30:37,Crisol 64,Plaza Colón,5600,6300,,"3,9",CBA,"-11,11%",
28/07/2026 09:32:00,Av. Rufino Varela Ortiz 5147,Santa Fe 330,,,,"7,5",CBA,#DIV/0!,
28/07/2026 09:32:37,Javier Lascano Colodrero 2924,Ilolay 3000,5300,,,4,CBA,#DIV/0!,
28/07/2026 09:34:01,Javier Lascano Colodrero 2924,Ilolay 3000,4100,3800,,4,CBA,"7,89%",
28/07/2026 09:36:00,Obispo Salguero 777,Av. Octavio Pinto 2541,5100,6300,,"7,9",CBA,"-19,05%",
28/07/2026 09:38:00,Av. Rufino Varela Ortiz 5147,Santa Fe 330,5300,7200,,"7,5",CBA,"-26,39%",
28/07/2026 10:02:01,Crisol 64,Plaza Colón,3800,3300,,"3,9",CBA,,
28/07/2026 10:04:03,Javier Lascano Colodrero 2924,Ilolay 3000,3700,3900,,4,CBA,,
28/07/2026 10:06:04,Obispo Salguero 777,Av. Octavio Pinto 2541,6200,6400,,"7,9",CBA,,
28/07/2026 10:08:03,Av. Rufino Varela Ortiz 5147,Santa Fe 330,5300,7000,,"7,5",CBA,,
